Titre,Nom,Adresse,Salaire,Contrat,Descposte,date,Metier
SENIOR DATA ANALYST (H/F),Ubisoft,- Montreuil (93),,,"Job Description

Le poste est à pourvoir dans la DSI du Siège International d’Ubisoft à Paris, et plus particulièrement au sein de l’équipe « Enterprise Data », le département BI / Big Data d’Ubisoft.
En tant que Senior Data Analyst, votre rôle sera de transformer la data en information pertinente pour faciliter les prises de décisions stratégiques. Pour se faire, il faudra prendre part au cycle d’analyse dans son ensemble, de la collecte de la problématique jusqu’à la présentation des recommandations.
Notre Senior Data Analyst se concentrera principalement sur des analyses ad hoc liées à notre département IT Monde (environ 1000 personnes).
À ce titre, vos missions seront les suivantes :
Assister les clients dans la compréhension des données mises à dispositions ;
Recueillir les besoins auprès du top management IT ;
Réaliser des analyses poussées en partenariat avec les différentes équipes ;
Créer des requêtes SQL dans le but d’extraire les données ;
Développer et mettre en forme les dashboard les plus pertinents possibles à destination des équipes du top management ;
Analyser les résultats obtenus pour définir des axes d’améliorations et des recommandations ;
Présenter les résultats et recommandations aux directeurs IT impliqués ;
Créer/automatiser des rapports / dataviz pour aider à la prise de décisions.

Qualifications

Background
Diplôme supérieur en informatique, école de commerce, formation universitaire ou équivalent ;
Expérience minimum de 5 ans dans un environnement BI ou Big Data en tant qu’analyste ou responsable fonctionnel (MOA BI).
Compétences requises
Excellente maîtrise de SQL;
Maîtrise d’un outil de data visualisation (Tableau ou MicroStrategy) ;
Capacité à communiquer des chiffres ou les résultats d’une analyse de manière claire et efficace ;
Excellent esprit analytique ;
Très bonne faculté de communication ;
Connaissance en Data Warehouse ;
Anglais courant indispensable, une partie de l’équipe ne parle pas français.
Bonus
Expérience passée sur des problématiques de Data Science ;
Intérêt pour l’univers des jeux vidéo ;

Additional Information

null",30+ j,data_analyst
SENIOR FINANCIAL PLANNING ANALYST H/F,Kyriba,- Saint-Cloud (92),,,"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.
Kyriba is the global leader in cloud-based treasury, cash and risk management solutions, delivering Software- as-a-Service (SaaS) financial technology to corporate CFOs and Treasurers. More than 2000 global organizations (including Dassault Systems, EuropCar, Eurostar International, CGA, Electronic Arts and Qualcomm) use Kyriba to enhance their global cash visibility, improve financial controls, and increase productivity across their cash and liquidity, payments, supply chain finance and risk management operations. Kyriba is headquartered in New York, with offices in San Diego, Paris, London, Tokyo, Singapore, Dubai, Hong Kong, Shanghai and Rio de Janeiro. Kyriba has added 200 new clients in the past twelve months and is growing at a fast pace!
At Kyriba, we value a strong work culture and sense of community and ownership among our global team. We live by our “iCare” value system to demonstrate our care and commitment to our clients and to each other. In hiring, we look for candidates that are a strong fit with our culture and values, as well as bring the talent and experience required by the position
Kyriba's FP&A organization is looking for a Financial Analyst to support the global Corporate FP&A forecasting and reporting processes. As a Financial Analyst, you will be responsible for providing analytical support and oversight to functional leaders as they make important strategic decisions. You will have the ability and desire to create a real impact across the organization. An ideal candidate is a top performer who can analyze large sets of data, create actionable insights, and thrive in a dynamic high-growth environment.
This position will report to the Director, Financial Planning & Analysis.
Responsibilities 
Coordinate and support a variety of Corporate FP&A forecasts, budgeting and reporting processes
o Participate in month-end closing (accruals, GAAP entries, cross-charges)
o Produce monthly reporting and quarterly board reporting to COMEX member 
Support monthly budget versus actual variance analysis and reporting for business partners 
Analyze monthly department spending for functional departments; present analysis along with recommendations to achieve budget 
Lead business case analysis, business scenario modelling, and other analytical requests and projects in support of key business initiatives. 
Partner with budget owners to drive improvements in forecasting and spending efficiencies 
Support ad-hoc investor relations and new business initiates 
Provide administration of the Company’s planning system 
Revenue accruals and review with the billing team o Cost accruals based on monthly reviews with business partners o Support to auditors
Desired Skills and Experience: 
Master’s degree in business, finance or economics 
Minimum 6 years of relevant experience 
Advanced Microsoft Excel skills (VBA) – building complex financial models, working efficiently with large data sets, and preparing presentations 
US GAAP knowledge – Rev Rec (ASC 606), Cost deferrals, Capitalization (ASC 350-40) 
Ability to handle multiple projects simultaneously and meet tight deadlines 
A high level of integrity and ability to enforce standards 
Strong interpersonal and team skills; ability to communicate clear and concisely; ability to work with multifunctional team in multiple geographies 
Prior experience in Software-as-a-Services companies is a plus",2 j,data_analyst
FINANCIAL DATA ANALYST H/F,Back Market,- Paris (75),,,"Notre business model repose sur la mise en relation entre des professionnels du secteur et des particuliers, en prélevant une commission sur les transactions d’achat et en développant des services payants associés, nous sommes donc une market place.Une marketplace repose sur des flux financiers complexes, via divers systèmes de paiement qui interagissent. Certains flux sont facilement traçables, d’autres demandent une connaissance poussée des interfaces .Ces flux financiers demandent d’être compris, suivis, appréciés, communiqués et optimisés, et c’est tout l’enjeu de ton futur poste.
CE QUE TU VAS FAIRE
Tu mettras en place des reportings de suivi de tous les flux pour la Direction
Tu accompagneras les autres départements de Backmarket, sur leurs besoins et leurs problématiques de finance opérationnelle (tu aideras sur la bonne gestion des paiements, tu accompagneras les lancements de produits côte Finance, tu créeras des deposits sur des balances virtuelles et tu suivras les risques…)
Tu seras un véritable chef de projet et mettras en place des plans d’action pour optimiser les flux financiers et tu mettras en place des recommandations sur les balances virtuelles et sur les flux financiers.
Enfin, tu aideras à la mise en place de nouveaux process pour protéger l’entreprise de risques financiers
TU ES AU BON ENDROIT SI
Après avoir obtenu ton Master en Finance, CCA ou Analyse financière, tu as au moins deux ans d’expérience professionnelle au sein d’un cabinet d’audit ou de conseil en stratégie.
Tu as déjà évolué sur des problématiques de flux financiers et sur des problématiques de paiements.
Tu es rigoureux(se), honnête et tu adores les chiffres
English is a no brainer for you
You are a fantastic team player
PROCESS DE RECRUTEMENT
Entretien téléphonique de 30 minutes avec Elisa, Talent Acquisition Manager
Entretien de 1 heure avec Laurene, Finance Manager
Entretien de 1 heure avec Pauline, Finance Director
Entretien avec Laetitia, Head of People puis Thibaud, CEO",30+ j,data_analyst
SENIOR FINANCE APPS ANALYST,Talend,- Suresnes (92),,,"Senior Finance Applications Analyst

We’re looking for a proactive, collaborative, results-oriented Finance Applications Analyst to join our Finance team at Talend. In this role you'll be covering a number of important activities that will directly influence and benefit the organisation, ranging from project implementation to testing and rollout. This is a great opportunity for detail oriented and results focused analyst – ideally with past experience in our data space and strong Netsuite experience– with excellent scope for training and progression within Talend- a world leader in the cloud data integration space!

Responsibilities
What You'll Do:
Provides assistance to the finance and accounting teams by troubleshooting and quickly resolving issues
Translate business requirements into well-architected solutions that best leverage NetSuite, FinancialForce and other finance applications
Develop, test, and document custom development, integrations, and data migration elements for changes to NetSuite and other financial systems
Execute test plans to ensure a quality solution is delivered
Assisting with project scoping, planning, and scheduling
Identify opportunities to increase efficiency and productivity within the context of the overall business strategy

Skills You'll Need to Have:
Bachelor's degree in a technical discipline or equivalent
4 years of Procure to Pay and/or Quote to Cash experiences in supporting finance teams
4 years of hands on Netsuite OneWorld experience
Good analytical skills, understanding of project lifecycles, and the ability to act in an entrepreneurial manner to ensure the solutions delivered matches the business requirements
Effective communicator that works well in a collaborative team setting
Experience with Salesforce, Anaplan, and FinancialForce is a plus
Want to learn more? Get in touch and apply!
About Talend
Talend is a next generation leader in big data and cloud integration solutions that helps companies become data driven by making data more accessible, improving its quality and quickly moving data where it’s needed for real-time decision making. By simplifying big data through these steps, Talend enables companies to act with insight based on accurate, real-time information about their business, customers, and industry. Talend’s innovative open-source solutions quickly and efficiently collect, prepare and combine data from a wide variety of sources allowing companies to optimize it for virtually any aspect of their business.
Talend is an equal opportunity employer committed to making all employment decisions on the basis of merit, capability and equality of opportunity, and without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law, or any other characteristic that has no bearing on a person’s ability to perform his or her job.

#LI-IW1",6 j,data_analyst
"BUSINESS STRATEGY & PLANNING MANAGER, CONTINENTAL EUROPE",Apple,- Paris (75),,,"Summary
Posted: Mar 7, 2019
Weekly Hours: 35
Role Number: 200042752
The people who work at Apple have reinvented and defined entire industries with the Mac, iPhone, iPad, Apple TV, Apple Watch, AirPods, HomePod and a multitude of groundbreaking Accessories. We have done the same with services, including iTunes, the App Store, Apple Music, and Apple Pay. We are deeply passionate about apps, music, movies, TV shows, and books. It’s a force that drives and inspires every one of us every single day. The passion for innovation that goes into our products applies to our practices as well, strengthening our dedication to leave the world better than we found it. Do you share this passion? If so, we are seeking an exceptional and highly driven team player to join our Business Strategy & Planning team to cover the Continental Europe markets. The Business Strategy & Planning team is part of Apple’s International services team, which covers the App Store, Apple Music, iTunes, Apple Books and iCloud businesses, across all international markets. As the Business Strategy & Planning lead covering Continental Europe, you will support our services business leaders to make decisions that drive business growth and performance. The breadth of the role is varied and covers business planning & strategy, commercial initiatives, business performance reviews, strategic partner engagement, and market & competitive insights. The role offers the opportunity to work on both tactical actions that drive our near-term business performance, and strategic initiatives that will define our future. An open mind, intellectual curiosity, analytical mindset, and an eagerness to problem-solve are crucial. This role reports to the Senior Business Strategy & Planning Manager for EMEA, Canada and Latin America, and can be based in Paris, Berlin or Munich. Your role will be critical as Apple seeks to deliver on its ambitious growth objectives for Services.
Key Qualifications
You will possess a strong business and analysis background, preferably from a top consultancy related to telecom, media and technology, and/or in-house in a strategy or business planning role at a leading related company.
You should have a natural aptitude for translating data into insights, and the ability to define and influence new strategies based on these insights.
You will have a deep understanding of the digital and mobile media and entertainment landscape and Apple’s role within it.
You should have the ability to solve complex, cross-functional business problems while dealing with challenging deadlines and opposing priorities.
You will be flexible and adaptable to manage the varying demands of a fast moving business.
You should have strong quantitative analysis skills and proficiency in spreadsheet applications.
You will have exceptional written and verbal communication and presentation skills.
You embrace having a hands-on attitude and always pay attention to the finest of detail.
Description
Business strategy and planning: Partner with regional leadership teams in defining ambition levels, setting priorities and shaping business plans, and provide recommendations on how to grow each region’s portfolio of services. Strategic & commercial initiatives: Identify, analyse and prioritise business opportunities and initiatives including but not limited to new products, new features, new business models and new pricing. Business performance reviews & reporting: Take a data-led approach to understanding the performance and underlying drivers of Apple’s services businesses, and lead business reporting on the geographies covered to senior leadership. Strategic partner engagement: Lead business reviews and support negotiations with key partners Market & competitive insights: Support regional leadership teams on understanding market trends and the local competitive landscape and dynamics.
Education & Experience
University degree, MBA or Post-Graduate is a plus. Several years of relevant experience in consultancy or strategy roles with a TMT focus. A thorough understanding of the digital content space, entertainment industry structures and business models including subscriptions A proven successful project management track record.
Additional Requirements
Fluent English is required. Additional languages are valued, especially German, French and Spanish.
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.",5 j,data_analyst
GLOBAL MARKETING ANALYST – B2B,L'AgenceRP,- Paris (75),,,"Doctolib is facing new challenges thanks to our fast growth, and one of them is to establish Doctolib as a must have for all Healthcare Professionals in Europe. To accomplish that, we need to transform Doctolib approach to Lead Generation and become more online and inbound oriented. We have recently created the Global Lead Generation Team to pursue that objective.

Your missions
You will have an hybrid role within the company: you will be the analytics “master” for B2B lead generation, while helping Doctolib generating more leads and revenue. More concretely, your main objectives will be:

1) Understand the performance of all of our lead generation channels in order to increase the number of new inbound leads:
– Analyse and understand how we can get more leads through our Doctor Website, more particularly by i) increasing the traffic, and ii) optimizing the conversion rate;
– Coordinate the creation and maintenance of our reporting tools and monitoring dashboards on all of our channels with a data analyst
– Work closely with the Data team on providing us with proper tracking solutions, relevant and aggregated datasets, optimized dashboards, and leading more complex analyses.

Example analyses to expect: performance deepdive of all of our B2B online marketing campaigns, doctor website funnel analysis to make A/B testing / landing pages recommendations, attribution modeling etc.

2) Develop a perfect understanding of our sales cycles to identify inbound opportunities and improve the performance of our sales team:
– Extensively analyse our pipe management (funnels from lead to contract, nurturing cycles etc.), in collaboration with our Global Sales Strategy team, in order to generate new inbound leads and increase revenue;
– Build the relevant tools to monitor all of our inbound funnel: # leads, # meetings, conversion rate, MRR etc.;
– Define precise scenarii and build segmentation to launch automated nurturing campaigns using marketing automation tools (e.g. Pardot).

3) Generate leads from our existing customer base through network effect and upsell:
– Track, analyze and launch automated campaigns to generate new telehealth leads and contribute to new revenue streams;
– Track, analyze and enhance our ability to generate positive word-of-mouth and leads from doctors (patient referral network, doctor-to-doctor referrals, etc.);
– Scale our targeting methodologies for our future new products and markets.

Profil recherché
– You graduated from a Business School or Engineering School;
– You have at least 3 years of experience as a business or marketing analyst or/and a fast and successful track record in a B2B SaaS company;
– You’re comfortable writing basic SQL queries (incl. joins), and have already worked with Google Analytics;
– You have a strong business sense, with a growth hacking mindset;
– You have worked abroad or have an international experience;
– An experience with marketing automation tools (e.g. Hubspot, Pardot) is a plus;
– English is mandatory, French / Spanish / Italian are a plus.

Déroulement des entretiens
Phone interview
Face to face interview
Case Study & Restitution
Final interview",22 h,data_analyst
BUSINESS ANALYST / BUSINESS INTELLIGENCE,Fed IT,- Rueil-Malmaison (92),35 000 € - 45 000 € par an,,"Fed IT, cabinet de recrutement spécialisé en informatique, recrute pour son client, acteur majeur de la distribution, un(e) Business Analyst spécialisé en data / business intelligence en CDI.

Au sein d'une équipe de 3 personnes et du département informatique, vous êtes l'interlocuteur IT privilégié des équipes métier. Vous avez pour mission de déployer diverses solutions (liées à la finance, aux RH, au marketing...), pour répondre aux besoins utilisateurs.

A ce titre, vous êtes en charge de :
Communiquer sur la mise en place des projets IT locaux
Travailler de manière transverse avec de nombreux départements pour bien comprendre les besoins métiers
Collaborer de manière importante avec les équipes informatique
Assurer le suivi du déploiement des projets
Comprendre les incidents qui surviennent et être un vrai relai entre les métiers et l'IT
Suivre les plans d'amélioration de service
Utiliser vos connaissances en business intelligence pour analyser les différentes données à votre disposition
Vous agissez comme véritable IT Business Partner.

Fort d'une première expérience réussie au minimum en alternance, vous avez une bonne connaissance de la gestion de projets liés au marketing et/ou aux différents métiers, ainsi qu'une expérience en analyse de données (business intelligence / intelligence artificielle).

Titulaire idéalement d'un Bac+5 en informatique, vous avez un vrai sens du relationnel et appréciez résoudre les problèmes.

Vous avez obligatoirement un niveau d'anglais courant (utilisation quotidienne de l'anglais à l'écrit et à l'oral).

Thomas, manager chez Fed IT, vous accompagnera tout au long du process. Pour tout renseignement : thomascarlier@fedit.fr ou 01.40.82.74.15 .

Process : 1 entretien chez Fed IT + 1 entretien technique chez le client (process très court !).",11 j,data_analyst
FINANCIAL DATA ANALYST F/H,JUNG S.A.S,- Paris 19e (75),,CDI,"Tu mettras en place des reportings de suivi de tous les flux pour la Direction

Tu accompagneras les autres départements de Backmarket, sur leurs besoins et leurs problématiques de finance opérationnelle (tu aideras sur la bonne gestion des paiements, tu accompagneras les lancements de produits côte Finance, tu créeras des deposits sur des balances virtuelles et tu suivras les risques…)

Tu seras un véritable chef de projet et mettras en place des plans d’action pour optimiser les flux financiers et tu mettras en place des recommandations sur les balances virtuelles et sur les flux financiers.

Enfin, tu aideras à la mise en place de nouveaux process pour protéger l’entreprise de risques financiers
Profil recherché Après avoir obtenu ton Master en Finance, CCA ou Analyse financière, tu as au moins deux ans d’expérience professionnelle au sein d’un cabinet d’audit ou de conseil en stratégie.

Tu as déjà évolué sur des problématiques de flux financiers et sur des problématiques de paiements.

Tu es rigoureux(se), honnête et tu adores les chiffres

English is a no brainer for you

You are a fantastic team player
Entreprise Notre business model repose sur la mise en relation entre des professionnels du secteur et des particuliers, en prélevant une commission sur les transactions d’achat et en développant des services payants associés, nous sommes donc une market place.Une marketplace repose sur des flux financiers complexes, via divers systèmes de paiement qui interagissent. Certains flux sont facilement traçables, d’autres demandent une connaissance poussée des interfaces .Ces flux financiers demandent d’être compris, suivis, appréciés, communiqués et optimisés, et c’est tout l’enjeu de ton futur poste.",13 j,data_analyst
CREDIT RISK ANALYST – ANACREDIT F/H,EMÉRIQUE & PARTNERS,- Paris 1er (75),,CDI,"Disposez-vous d’une première expérience sur des sujets AnaCredit ? Vous évoluez au sein d’un poste ayant une dimension risque réglementaire ?

Si oui, lisez ce qui suit :
Notre client, banque d’investissement internationale, recherche un analyste crédit. Vous rejoindrez une équipe d’une dizaine de personnes évoluant sur des projets du groupe et réglementaires, notamment IFRS9, risque de crédit (stress-test) et ANACREDIT.

Vos missions seront les suivantes :
Reporting Crédit: IFRS9 et ANACREDIT

Coordination du dossier ANACREDIT

Contribution aux stresstests réglementaires

Collecte et analyse de l’information sur les risques de crédit du groupe

Garantir la fiabilité des reportings internes et réglementaires

Gérer la relation avec la banque de France ainsi que la BCE

Gestion de projet

Vous évoluerez dans un contexte international et travaillerez avec le groupe, notamment dans la gestion de la maitrise d’ouvrage/d’œuvre pour les filiales à l’international.

Profil recherché Votre profil :
Bac+5

2 années minimum d'expérience en risque de crédit

1ère expérience sur le projet ANACREDIT

Maitrise de la réglementation (Bale II / III) +

Excellentes connaissances en manipulation de données (BO, SAS)

Synthétique, diplomate, pédagogue…

Niveau d’Anglais courant !
Entreprise Emérique & Partners est un cabinet de chasse de têtes spécialisé en Banque et Assurance dans les domaines de la finance quantitative, l’actuariat, le risk management les investissements et la data science.

Nous recrutons et plaçons les talents au sein de compagnies et cabinets de conseil.",15 j,data_analyst
FINANCIAL PLANNING ANALYST,PeopleDoc,- Paris (75),,,"PeopleDoc is on a mission to revolutionize how every HR function provide services to their employees.

Our unique ""state of the art"" HR Service Delivery platform provides HR teams with the tools they need to provide great services while considerably decreasing the manual work behind the scenes and allowing companies to go paperless in their administration.

The PeopleDoc HR Service Delivery platform helps HR teams more easily answer employee requests on demand, automate employee processes, across multiple locations. PeopleDoc serves more than 1000 clients with employees in 180 countries in 12 languages. PeopleDoc is now a part of Ultimate Software. Ultimate Software is a Leader for Cloud HCM Applications.

Our HR Service Delivery Platform:
Employee File Management
Case Management & Employee Portal with personalized knowledge base
Process Automation
Advanced Analytics
Job Summary:
PeopleDoc EMEA is looking for a Financial Planning Analyst in our Paris HQ. The FP&A is in charge of creating, updating, and maintaining financial models and detailed forecasts of the company's future operations as well as comparing historical results against budgets and forecasts, performing variance analysis to explain differences in performance and make improvements going forward.

He or she will work with individual departments to prepare budgets and consolidate them into one overall corporate budget. He/she prepares internal reports for leadership team and supporting their decision making. He or she will report directly to the Sr Director of International Finance in Paris.

Day to day tasks will include to:
Update input information into forecast model (headcount, costs, revenue),
Perform Actuals versus budget & Actuals versus forecast gaps analysis,
Contribute to a preparation of financial presentations for Internal direction committees, Country managers, etc
Prepare historical data analysis for reporting or integration process needs
Respond to any analysis requests from the management & direction (local & headquarter's level)
Participate in budget compaign & quarterly closing planning & preparation
Open/close/modify access to FP&A tools (currently Anaplan) as well as to Netsuite (for expense reports, R&D time tracking)
The successful candidate will possess the following required Competencies:

Strong background in Finance with experience in Software Development, Computer Hardware, and understanding Financial Planning & Analysis
Bachelor's degree in Accounting, Finance or equivalent
Min 5 years of overall professional experience is required: ideally experiences of working for a VC/Investment bank or/&as an FP&A
Knowledge of Anaplan is a plus
Capacity of handling and intelligently analyzing a mountain of different types of data and data evaluation metrics
Creative problem solver, with a natural or cultivated talent for financial analysis, modeling, and forecasting
Excellent verbal and written communication and interpersonal skills
Strong attention to detail, goal oriented
Proficient in Excel: mandatory
English : Fluent",30+ j,data_analyst
QUANTITATIVE RISK ANALYST,ENGIE Global Energy Management La Defense,- Courbevoie (92),,,"ENGIE is a global energy company, a leading provider of electricity, natural gas, and energy services. With 153,090 employees in more than 70 countries worldwide, ENGIE achieved revenue of €66.6 billion in 2016. ENGIE is committed to being a leader in the energy transition.
We are looking for talented and motivated people to create the future of energy. Join a rewarding and flexible work environment that encourages innovation and creativity, and help us meet the energy challenges of today and tomorrow.
Global Energy Management (GEM) is one of ENGIE’s Business Units. We deliver services in supply and logistics management, asset management, risk management, market access management, while contributing to the market understanding, design and efficiency and developing market solutions to accelerate the energy transition.
GEM manages one of the largest and most diversified energy portfolios in Europe, including electricity, natural gas, bulk commodities and environmental products.
With 5 trading platforms and activities in more than 50 countries, GEM has an extended geographical coverage in Europe, Asia-Pacific and in the US. It employs 1,300 people around the world.

Within the Risk department of GEM, Risk Methodologies is in charge of four main missions:


Validation of the pricing models that are used by GEM to evaluate and actively manage its trading positions in derivatives products, some of them requiring advanced mathematical methods (exotic options).
Definition and calibration of indicators to monitor the trading exposure to price moves (market risk),
Definition and calibration of indicators to monitor the credit risk of trading activities (default likelihood of our counterparties on the market, and subsequent potential loss).
Risk Methodologies acts as a quantitative support to the Risk department for the sound and appropriate usage of the valuation tools and risk indicators. The team proactively proposes recommendations and evolutions when necessary. These missions are materialized by the production of a specific documentation, the team being a key SPOC for internal and external stakeholders on quantitative topics in GEM: integration of new products, regulatory requirements, etc.
The quantitative analyst will be in charge of:
The validation of the valuation models that are submitted by FO. This task is materialized by a formal audit report that will challenge the proposed approach, both in its theoretical relevance and in its implementation. When necessary, the analyst will proactively formulate recommendations and will consider all the actions that are necessary to accompany the new model in the official system (specific provisions, adaptation of risk indicators e.g.
The definitions and evolutions of market risk indicators (Value-at-Risk, stress scenarios, provisions, etc.). This role encompasses the recurrent recalibration of the indicators and the support to the integration of new markets.
The quantitative support to the Trading and Risk departments for new or non-standard businesses, with a strong involvement in the quantitative aspects of the New Product Approvals process and Origination Committees.
You will be part of a pool of 6 quantitative risk analysts in Paris, in the Global Risk Analytics team that also onboards 6 market risk analysts in charge of transversal risk monitoring and reportings (Paris/Brussels).
Internal interfaces include:
FO: quantitative analysts, trading desks
IT: business analysts, developer, support teams
Risk: Market Risk analysts, Strategic Business Analysis, Operational and Transverval Risk
External Interface include:
Regulatory bodies (ACPR, external auditors)
This position reports to the Model Validation team leader and to the head of the team.
Qualifications
QUALIFICATIONS
Y ou have a Bac+5 (Fr) or Master (Be) with a specialization in Applied Mathematics and/or Financial Engineering
additional degrees such as top engineering schools or PhD would be a plus
first experience in a similar role (at least 2 years) in the commodity or banking sector, knowledge of energy markets being a plus. Exceptional more junior candidates will be considered based on proven motivation and competencies.
you have strong technical skills in pricing models, in a development or validation role.
you are well versed in data analysis, with both theoretical (statistics and econometric models) and practical focuses (database, SQL)
analyzing complex problems and conceptual thinking
practical thinking, in particular to propose pragmatic ways to get out of theoretical or operational constraints
proactivity to manage your missions in autonomy
ability to adapt your talks to various stakeholders (in particular technical and non technical contacts
you are fluent in English, written and spoken (with the ability to write rigorous technical documentation)
you are fluent in Excel and familiar with object oriented as well as data oriented programming using languages such as Matlab/R/Python and/or C#.
Occasional Travel to Brussels will be required
Job
: Audit / Risks / Consulting
Primary Location
: Europe-France-Île-de-France-Courbevoie
Organization
: Risk
Schedule
: Full-time
Nature of Responsibility
: Senior professionnal / Team leader
Job Posting
: Oct 18, 2018, 8:20:56 PM",4 m,data_analyst
SENIOR SALES OPERATIONS ANALYST - EMEA,MapR,- Paris (75),,,"Senior Sales Operations Analyst - EMEA
Sales Operations are the business partners and advisors to Sales to ensure that all requirements within the Sales Process are achieved with the best efficiency and speed possible. Reporting to the EMEA sales operations director, this key role is will serve as the primary point of contact for executing all sales operations activities, both daily tactical and strategic project-based, in EMEA. This person will also be the go-to resource for regional sales operations related matters, requests, and escalations, in addition to partnering with local sales management on all sales operations initiatives
Main responsibilities:
Work with internal teams) bringing together a virtual team that supports and resolves deal issues to ensure the highest level of supply continuity
Identify/implement key procedural changes required to drive operational efficiency and lead the design, implementation, and administration of the tools needed to improve professional effectiveness within the sales operations team
Collaborate with the Sales Operations Director and leadership team and undertake the preparation of data/reports & dashboards
Assist Sales team with the preparation of Quarterly Business Review presentations
Ensure compliance of sales deals with any relevant company policies, procedures, and processes or other requirements and manage the approval process for sales transactions in the EMEA MapR Deal Desk
Assist and advise Sales with product configurations and pricing proposals
Draft, review and administer any documentation required for sales transactions and their approval
Act as first line support to the sales on revenue recognition or contractual matters relating to sales transactions, act as liaison to Finance and Legal Departments on those transactions
Provide interpretation and analysis of existing customer contractual documents where required
Interact with all internal business partners required in the execution and closure of sales transactions. (i.e., Field Sales, Global Operations, Finance, Sales Management, and Legal Partner Managers, Product Managers, HQ functions)
Other duties as may be assigned in relation to the Deal Desk Group
Education:
Finance, Economics, Business Studies or Business Management University Degree preferable but not essential, equivalent training or previous experience
Skills, Key Competencies & Experience:
Team Work, Commercial Awareness, Communication, Influencing Others, Customer Orientation, Thoroughness, Self-Confidence, Flexibility
Demonstrable experience in a similar role preferably either as Sales Operations, Data Analyst, Business Practices or equivalent. Ideally within the technology sector
Experienced with SFDC
Proficient in Excel
Excellent written and oral communication skills in English with the ability to express yourself clearly and concisely acting as a key interface both internally to all areas of the business and externally with key customers
Good organization skills, with a logical approach to problem-solving, good time management and task prioritization skills
Experience of software licensing and contracting, ideally within a subscription ACV model
Experience of Software & Services revenue recognition criteria
Some experience in a Sales, Contract or Deal Desk environment
Strong problem-solving skills. Excellent verbal and written communication skills. Ability to multi-task and work under pressure, meet deadlines and able to work independently. Good presentation skills and ability and confidence to interact with both internal and potentially external customers
Ability to act with tact and discretion
Must be responsible and able to handle confidential information

MapR Technologies, a provider of the industry’s leading data platform for AI and Analytics, enables enterprises to inject analytics into their business processes to increase revenue, reduce costs, and mitigate risks. MapR addresses the data complexities of high-scale and mission-critical distributed processing from the cloud to the edge, IoT analytics, and container persistence. Global 2000 enterprises trust the MapR Data Platform to help them solve their most complex AI and analytics challenges. Amazon, Cisco, Google, Microsoft, SAP, and other leading businesses are all part of the MapR ecosystem. For more information, visit www.mapr.com.",5 j,data_analyst
BUSINESS ANALYST H/F,Logware,- La Défense (92),,CDI,"Vous êtes Business Analyst et vous recherchez un projet à forte valeur ajoutée ? Ne cherchez plus, vous y êtes !

Vos missions :
Dans le cadre des projets Dali Convergence et Data Strategy, voici les trois livrables attendus par cette mission:

1) Migration du type de la base de donnée de l’application Neoxam Data Hub de Sybase vers SqlServer:
– Mise en place de la nouvelle plateforme
– Collaborer avec l’équipe DBA et l’éditeur pour migrer les données
– Gérer les dépendances : les procédures stockées, les WebSerices etc
– Gérer les problèmes de tunning/optimisation
– Valider cette migration par la mise en place des outils de validation et l’utilisation de l’outil Neoxam Application Testing

2) Migration de l’application Neoxam Data Hub hébergée sur la plateforme Solaris vers la plateforme Linux ainsi que les jobs/process et les dépendances autour de l’application NDH

3) Rationalisation et optimisation des nombreux process Control-M de l’application Neoxam Data Hub:
– Analyser le plan de production existant
– Identifier les axes d’améliorations
– Réduire et rationaliser les jobs en réduisant drastiquement leur nombre et leur durée d’exécution
– Mise en œuvre des optimisations de jobs et décommissionnement des jobs inutiles
– Mettre en œuvre des améliorations avec l’aide des équipes Application Production Engineer

Les « must have » :
– Neoxam Data Hub
– Control-M (ou un ordonnanceur similaire)
– Sybase /SqlServer – SQL/Transact-SQL
– Shell Unix/Linux
– Connaissances ETL (Informatica ou autre)
– Excellentes connaissances des données référentielles et de marché usuellement utilisées en Asset Management (securities, produits dérivées/listés/OTC, Tiers, indices, benchmarks, fonds, portefeuilles, taux, analytics, ratings, etc.)
– Très bonnes connaissances de l’Asset Management
– Conception et modélisation des données

Le « nice profil » :
– Esprit d’équipe, organisation, autonomie, esprit d’investigation et de synthèse
– Sens de la communication (orale et écrite, en français et en anglais) et du service client
– Expérience d’au moins 8 ans sur un poste similaire

Logware propose des missions toujours plus stimulantes, des formations et un suivi régulier pour vous accompagner dans votre projet professionnel, de quoi vous combler !
2mn chrono pour postuler avec une vraie opportunité de progresser à votre portée donc n’hésitez pas, on vous attend… !",21 j,data_analyst
